ID	Name	Copies per Million (CPM)	Relative Abundance
HSERMETANA-PWY	L-methionine biosynthesis III	2971.29	0.2971289881148405
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	2934.36	0.2934359882625605
PWY-922	mevalonate pathway I (eukaryotes and bacteria)	2748.29	0.27482898900684044
HISDEG-PWY	L-histidine degradation I	2732	0.27319998907200044
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	2504.2	0.2504199899832004
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	2504.2	0.2504199899832004
PWY-5667	CDP-diacylglycerol biosynthesis I	2362.9	0.2362899905484004
PWY0-1319	CDP-diacylglycerol biosynthesis II	2362.9	0.2362899905484004
PWY-5981	CDP-diacylglycerol biosynthesis III	2320.97	0.2320969907161204
GLYOXYLATE-BYPASS	glyoxylate cycle	2051.05	0.20510499179580036
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	1497.36	0.14973599401056026
LACTOSECAT-PWY	lactose and galactose degradation I	1181.61	0.1181609952735602
